Описание полей,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Поле,Описание,Значение,Пример,Обязательное поле
ID_товара,"Идентификатор товара на сайте. Если он присутствует в файле импорта, то у этой товарной позиции на сайте будет обновлена цена, валюта, единица измерения и наличие. Если он отстутсвует, то это товар будет добавлен.",Может состоять только из цифр,234123,нет
Название,"Название товара, услуги.","Строка  от 10 до 120 символов, вместе с пробелами",Борона-мотыга ротационная БМР 6.1,да
Описание,"Описание товара и его характристик, должно быть уникальным. Чтобы начать предложение с новой строки добавьте тег <P>, при выводе на сайте он будет заменен на перевод на новую строку. Все остальные HTML теги отключены. ",Строка от 200 до 5000 символов ,"Борона-мотыга ротационная (с рабочей шириной захвата 6.1 метров и жесткой рамой) предназначена для сплошной и междурядной обработки любых культур: зерновых, сои, пропашных культур, табака, овощей и т. д. <p>Причем особенно эффективно данное орудие в регионах, где имеется недостаток влаги для осуществления влагосбережения. Применяется для борьбы с сорняком, заделки в почву пожнивных остатков.",да
Ключевые_слова,Список из 2-3 ключевых фраз разделенных через запятую.,"Строка  от 10 до 120 символов, вместе с пробелами",,да
Цена,Актуальная цена товара,Число c типа: 1200 или 1200.0 или 1200.50,391000.00,да
Валюта,"Валюта, в которой указана цена товара. Цена и валюта должны соответствовать. Например, вместе с USD надо указывать цену в долларах, а не в рублях. ","Допустимые значения: руб, USD, EUR, грн, 'бел. руб.', тенге",руб,да
Единица_измерения,Единица измерения товара.,"Строка, допустимые значения: шт., упак., ед., услуга, т., кг., гр., км., м., пог. м., см., мм., гектар, сотка, кв. м., куб. м., дал., л., мл., месяц, неделя,  день, час",шт.,нет
Наличие,Наличие товара у продавца,"Строка, допустимые значения: в наличии, нет в наличии, под заказ",в наличии,нет
Тип_опт_розница,"Тип товара, оптовый, розничный услуга","Строка, возможные значения: опт, розница, опт и розница, услуга",опт и розница,нет
Рубрика,"Рубррика товара на сайте, куда должен быть добавлен товар","Строка до 200 символов, допускается как полный URL рубрики на сайте, типа http://www.regtorg.ru/good/stanok-lobotokarnyj/ так и краткий stanok-lobotokarnyj",http://www.regtorg.ru/good/stanok-lobotokarnyj/,да
Фотография,URL-ссылка на картинку товара.,"Строка длиною до 200 символов. Допустимые форматы изображений jpg, jpeg, gif, png. Размер изображения не должен привышать 800Кб",http://static.regtorg.ru/imgs/goods/67/204367-photo.jpg,нет
Артикул,Артикул (идентификатор) товара в вашей системе,Строка до 20 символов,БС-1245,нет
Производитель,Производитель,Строка до 50 символов,КАМАЗ,нет
Страна_производитель,Страна производства,Строка до 50 символов,Россия,нет
,,,,
Совет,"При первом составлении прайс-листа рекомендуем добавить вручную на сайт по одному товару в каждую рубрику, куда вы планируете добавлять товары. Далее сделать файл импорта и его уже отредактировать, добавить не более 10-15 товаров. Если появятся ошибки, вы сможете быстро их исправить и не повторите их при добавлении остальных товаров.",,,
,"Когда эти 10-15 товаров будут успешно опубликованы, добавьте в прайс-лист остальные ваши позиции. ",,,
